"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: null"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,,,
"","All ages",,,,,,,,,,,,
"Geography","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","Persons",,,,,,,,,,,,
"Brooks (CA), Alberta","23,291","23,742","24,142","24,234","24,428","24,247","24,979","25,267","25,392","25,330","25,306","25,116","24,989"
"Lethbridge (CMA), Alberta","98,666","101,924","104,329","106,433","108,493","109,774","111,299","113,468","116,137","118,491","120,973","122,506","124,553"
"Okotoks (CA), Alberta","17,916","19,363","20,907","22,525","24,012","25,417","26,619","27,658","28,584","29,182","29,657","29,951","30,421"
"High River (CA), Alberta","11,081","11,458","11,993","12,466","12,895","13,321","13,809","13,916","13,684","13,868","13,960","14,127","14,405"
"Calgary (CMA), Alberta","1,124,723","1,155,560","1,187,476","1,220,700","1,240,521","1,263,896","1,300,352","1,344,661","1,386,733","1,413,600","1,438,282","1,459,358","1,486,050"
"Strathmore (CA), Alberta","10,694","11,260","11,662","12,086","12,442","12,732","13,024","13,444","13,764","13,935","14,086","14,090","14,214"
"Canmore (CA), Alberta","12,460","12,615","12,747","12,810","12,778","12,733","13,210","13,657","14,070","14,252","14,591","14,843","15,061"
"Red Deer (CA), Alberta","86,636","89,085","90,978","92,552","93,272","94,120","96,875","99,525","101,712","102,838","103,480","103,396","103,759"
"Sylvan Lake (CA), Alberta","11,209","11,721","12,156","12,565","12,947","13,316","14,023","14,694","15,173","15,652","15,792","15,665","15,684"
"Lacombe (CA), Alberta","11,106","11,391","11,604","11,881","11,940","12,123","12,580","12,925","13,229","13,378","13,349","13,235","13,278"
"Camrose (CA), Alberta","16,171","16,705","17,057","17,428","17,648","17,856","18,164","18,405","18,869","19,164","19,189","19,115","19,100"
